gene_name,epoch,loss
gene1,9,0.11259684
gene1,19,0.1108682
gene1,29,0.10877992
gene1,39,0.10708021
gene1,49,0.10591863
gene1,59,0.10495467
gene1,69,0.10400268
gene1,79,0.10304771
gene1,89,0.10204497
gene1,99,0.10092212
gene1,109,0.09957251
gene1,119,0.097964175
gene1,129,0.096378095
gene1,139,0.09453595
gene1,149,0.09206564
gene1,159,0.08943561
gene1,169,0.08658743
gene1,179,0.08270226
gene1,189,0.07872597
gene1,199,0.07608361
gene1,209,0.073436886
gene1,219,0.07097915
gene1,229,0.067837834
gene1,239,0.06396067
gene1,249,0.06088872
gene1,259,0.060949344
gene1,269,0.058015183
gene1,279,0.058024324
gene1,289,0.05684574
gene1,299,0.054669812
gene1,309,0.05367734
gene1,319,0.052912332
gene1,329,0.05249097
gene1,339,0.05687512
gene1,349,0.054976504
gene1,359,0.053053398
